"Team 1","Team 2","Team 3",Overall
"Baltimore Ravens","Detroit Lions","Kansas City Chiefs",91.98
"Baltimore Ravens","Detroit Lions","Las Vegas Raiders",92.37
"Baltimore Ravens","Detroit Lions","Los Angeles Chargers",91.97
"Baltimore Ravens","Detroit Lions","Los Angeles Rams",92.57
"Baltimore Ravens","Detroit Lions","Miami Dolphins",92.33
"Baltimore Ravens","Detroit Lions","Minnesota Vikings",92.16
"Baltimore Ravens","Detroit Lions","New England Patriots",92.27
"Baltimore Ravens","Detroit Lions","New Orleans Saints",92.18
"Baltimore Ravens","Detroit Lions","New York Giants",92.20
"Baltimore Ravens","Detroit Lions","New York Jets",92.09
"Baltimore Ravens","Detroit Lions","Philadelphia Eagles",92.57
"Baltimore Ravens","Detroit Lions","Pittsburgh Steelers",92.19
"Baltimore Ravens","Detroit Lions","San Francisco 49ers",92.57
"Baltimore Ravens","Detroit Lions","Seattle Seahawks",91.98
"Baltimore Ravens","Detroit Lions","Tampa Bay Buccaneers",92.05
"Baltimore Ravens","Detroit Lions","Tennessee Titans",92.42
"Baltimore Ravens","Detroit Lions","Washington Commanders",92.39
"Baltimore Ravens","Green Bay Packers","Houston Texans",92.20
"Baltimore Ravens","Green Bay Packers","Indianapolis Colts",92.39
"Baltimore Ravens","Green Bay Packers","Jacksonville Jaguars",91.93
"Baltimore Ravens","Green Bay Packers","Kansas City Chiefs",92.15
"Baltimore Ravens","Green Bay Packers","Las Vegas Raiders",92.23
"Baltimore Ravens","Green Bay Packers","Los Angeles Chargers",92.08
"Baltimore Ravens","Green Bay Packers","Los Angeles Rams",92.41
"Baltimore Ravens","Green Bay Packers","Miami Dolphins",92.32
"Baltimore Ravens","Green Bay Packers","Minnesota Vikings",92.11
"Baltimore Ravens","Green Bay Packers","New England Patriots",92.27
"Baltimore Ravens","Green Bay Packers","New Orleans Saints",92.12
"Baltimore Ravens","Green Bay Packers","New York Giants",92.45
"Baltimore Ravens","Green Bay Packers","New York Jets",92.34
"Baltimore Ravens","Green Bay Packers","Philadelphia Eagles",92.40
"Baltimore Ravens","Green Bay Packers","Pittsburgh Steelers",92.10
"Baltimore Ravens","Green Bay Packers","San Francisco 49ers",92.82
"Baltimore Ravens","Green Bay Packers","Seattle Seahawks",92.07
"Baltimore Ravens","Green Bay Packers","Tampa Bay Buccaneers",92.14
"Baltimore Ravens","Green Bay Packers","Tennessee Titans",92.58
"Baltimore Ravens","Green Bay Packers","Washington Commanders",92.39
"Baltimore Ravens","Houston Texans","Indianapolis Colts",92.57
"Baltimore Ravens","Houston Texans","Jacksonville Jaguars",92.12
"Baltimore Ravens","Houston Texans","Kansas City Chiefs",92.31
"Baltimore Ravens","Houston Texans","Las Vegas Raiders",92.46
"Baltimore Ravens","Houston Texans","Los Angeles Chargers",92.37
"Baltimore Ravens","Houston Texans","Los Angeles Rams",92.51
"Baltimore Ravens","Houston Texans","Miami Dolphins",92.48
"Baltimore Ravens","Houston Texans","Minnesota Vikings",92.27
"Baltimore Ravens","Houston Texans","New England Patriots",92.25
"Baltimore Ravens","Houston Texans","New Orleans Saints",92.20
"Baltimore Ravens","Houston Texans","New York Giants",92.61
"Baltimore Ravens","Houston Texans","New York Jets",92.43
"Baltimore Ravens","Houston Texans","Philadelphia Eagles",92.65
"Baltimore Ravens","Houston Texans","Pittsburgh Steelers",92.39
"Baltimore Ravens","Houston Texans","San Francisco 49ers",92.94
"Baltimore Ravens","Houston Texans","Seattle Seahawks",92.20
"Baltimore Ravens","Houston Texans","Tampa Bay Buccaneers",92.32
"Baltimore Ravens","Houston Texans","Tennessee Titans",92.87
"Baltimore Ravens","Houston Texans","Washington Commanders",92.74
"Baltimore Ravens","Indianapolis Colts","Jacksonville Jaguars",92.14
"Baltimore Ravens","Indianapolis Colts","Kansas City Chiefs",92.31
"Baltimore Ravens","Indianapolis Colts","Las Vegas Raiders",92.36
"Baltimore Ravens","Indianapolis Colts","Los Angeles Chargers",92.07
"Baltimore Ravens","Indianapolis Colts","Los Angeles Rams",92.42
"Baltimore Ravens","Indianapolis Colts","Miami Dolphins",92.55
"Baltimore Ravens","Indianapolis Colts","Minnesota Vikings",92.06
"Baltimore Ravens","Indianapolis Colts","New England Patriots",92.34
"Baltimore Ravens","Indianapolis Colts","New Orleans Saints",92.11
"Baltimore Ravens","Indianapolis Colts","New York Giants",92.48
"Baltimore Ravens","Indianapolis Colts","New York Jets",92.22
"Baltimore Ravens","Indianapolis Colts","Philadelphia Eagles",92.58
"Baltimore Ravens","Indianapolis Colts","Pittsburgh Steelers",92.24
"Baltimore Ravens","Indianapolis Colts","San Francisco 49ers",92.70
"Baltimore Ravens","Indianapolis Colts","Seattle Seahawks",92.14
"Baltimore Ravens","Indianapolis Colts","Tampa Bay Buccaneers",92.39
"Baltimore Ravens","Indianapolis Colts","Tennessee Titans",92.43
"Baltimore Ravens","Indianapolis Colts","Washington Commanders",92.51
"Baltimore Ravens","Jacksonville Jaguars","Kansas City Chiefs",91.65
"Baltimore Ravens","Jacksonville Jaguars","Las Vegas Raiders",92.00
"Baltimore Ravens","Jacksonville Jaguars","Los Angeles Chargers",91.71
"Baltimore Ravens","Jacksonville Jaguars","Los Angeles Rams",92.11
"Baltimore Ravens","Jacksonville Jaguars","Miami Dolphins",91.95
"Baltimore Ravens","Jacksonville Jaguars","Minnesota Vikings",91.70
"Baltimore Ravens","Jacksonville Jaguars","New England Patriots",91.85
"Baltimore Ravens","Jacksonville Jaguars","New Orleans Saints",91.84
"Baltimore Ravens","Jacksonville Jaguars","New York Giants",92.17
"Baltimore Ravens","Jacksonville Jaguars","New York Jets",92.02
"Baltimore Ravens","Jacksonville Jaguars","Philadelphia Eagles",92.36
"Baltimore Ravens","Jacksonville Jaguars","Pittsburgh Steelers",91.83
"Baltimore Ravens","Jacksonville Jaguars","San Francisco 49ers",92.51
"Baltimore Ravens","Jacksonville Jaguars","Seattle Seahawks",91.71
"Baltimore Ravens","Jacksonville Jaguars","Tampa Bay Buccaneers",91.75
"Baltimore Ravens","Jacksonville Jaguars","Tennessee Titans",92.34
"Baltimore Ravens","Jacksonville Jaguars","Washington Commanders",92.11
"Baltimore Ravens","Kansas City Chiefs","Las Vegas Raiders",92.15
"Baltimore Ravens","Kansas City Chiefs","Los Angeles Chargers",91.79
"Baltimore Ravens","Kansas City Chiefs","Los Angeles Rams",92.30
"Baltimore Ravens","Kansas City Chiefs","Miami Dolphins",92.10
"Baltimore Ravens","Kansas City Chiefs","Minnesota Vikings",91.83
"Baltimore Ravens","Kansas City Chiefs","New England Patriots",91.87
"Baltimore Ravens","Kansas City Chiefs","New Orleans Saints",91.99
"Baltimore Ravens","Kansas City Chiefs","New York Giants",92.17
"Baltimore Ravens","Kansas City Chiefs","New York Jets",92.01
"Baltimore Ravens","Kansas City Chiefs","Philadelphia Eagles",92.49
"Baltimore Ravens","Kansas City Chiefs","Pittsburgh Steelers",91.95
"Baltimore Ravens","Kansas City Chiefs","San Francisco 49ers",92.55
"Baltimore Ravens","Kansas City Chiefs","Seattle Seahawks",91.90
"Baltimore Ravens","Kansas City Chiefs","Tampa Bay Buccaneers",91.84
"Baltimore Ravens","Kansas City Chiefs","Tennessee Titans",92.42
"Baltimore Ravens","Kansas City Chiefs","Washington Commanders",92.29
"Baltimore Ravens","Las Vegas Raiders","Los Angeles Chargers",91.89
"Baltimore Ravens","Las Vegas Raiders","Los Angeles Rams",92.35
"Baltimore Ravens","Las Vegas Raiders","Miami Dolphins",92.43
"Baltimore Ravens","Las Vegas Raiders","Minnesota Vikings",91.87
"Baltimore Ravens","Las Vegas Raiders","New England Patriots",92.23
"Baltimore Ravens","Las Vegas Raiders","New Orleans Saints",92.10
"Baltimore Ravens","Las Vegas Raiders","New York Giants",92.53
"Baltimore Ravens","Las Vegas Raiders","New York Jets",92.40
"Baltimore Ravens","Las Vegas Raiders","Philadelphia Eagles",92.61
"Baltimore Ravens","Las Vegas Raiders","Pittsburgh Steelers",92.34
"Baltimore Ravens","Las Vegas Raiders","San Francisco 49ers",92.78
"Baltimore Ravens","Las Vegas Raiders","Seattle Seahawks",91.97
"Baltimore Ravens","Las Vegas Raiders","Tampa Bay Buccaneers",92.09
"Baltimore Ravens","Las Vegas Raiders","Tennessee Titans",92.35
"Baltimore Ravens","Las Vegas Raiders","Washington Commanders",92.43
"Baltimore Ravens","Los Angeles Chargers","Los Angeles Rams",92.21
"Baltimore Ravens","Los Angeles Chargers","Miami Dolphins",92.20
"Baltimore Ravens","Los Angeles Chargers","Minnesota Vikings",91.70
"Baltimore Ravens","Los Angeles Chargers","New England Patriots",92.05
"Baltimore Ravens","Los Angeles Chargers","New Orleans Saints",91.93
"Baltimore Ravens","Los Angeles Chargers","New York Giants",92.14
"Baltimore Ravens","Los Angeles Chargers","New York Jets",92.02
"Baltimore Ravens","Los Angeles Chargers","Philadelphia Eagles",92.40
"Baltimore Ravens","Los Angeles Chargers","Pittsburgh Steelers",91.91
"Baltimore Ravens","Los Angeles Chargers","San Francisco 49ers",92.55
"Baltimore Ravens","Los Angeles Chargers","Seattle Seahawks",91.68
"Baltimore Ravens","Los Angeles Chargers","Tampa Bay Buccaneers",91.79
"Baltimore Ravens","Los Angeles Chargers","Tennessee Titans",92.13
"Baltimore Ravens","Los Angeles Chargers","Washington Commanders",92.20
"Baltimore Ravens","Los Angeles Rams","Miami Dolphins",92.53
"Baltimore Ravens","Los Angeles Rams","Minnesota Vikings",92.26
"Baltimore Ravens","Los Angeles Rams","New England Patriots",92.43
"Baltimore Ravens","Los Angeles Rams","New Orleans Saints",92.15
"Baltimore Ravens","Los Angeles Rams","New York Giants",92.63
"Baltimore Ravens","Los Angeles Rams","New York Jets",92.39
"Baltimore Ravens","Los Angeles Rams","Philadelphia Eagles",92.65
"Baltimore Ravens","Los Angeles Rams","Pittsburgh Steelers",92.32
"Baltimore Ravens","Los Angeles Rams","San Francisco 49ers",92.91
"Baltimore Ravens","Los Angeles Rams","Seattle Seahawks",92.21
"Baltimore Ravens","Los Angeles Rams","Tampa Bay Buccaneers",92.45
"Baltimore Ravens","Los Angeles Rams","Tennessee Titans",92.71
"Baltimore Ravens","Los Angeles Rams","Washington Commanders",92.63
"Baltimore Ravens","Miami Dolphins","Minnesota Vikings",92.22
"Baltimore Ravens","Miami Dolphins","New England Patriots",92.19
"Baltimore Ravens","Miami Dolphins","New Orleans Saints",92.29
"Baltimore Ravens","Miami Dolphins","New York Giants",92.48
"Baltimore Ravens","Miami Dolphins","New York Jets",92.35
"Baltimore Ravens","Miami Dolphins","Philadelphia Eagles",92.60
"Baltimore Ravens","Miami Dolphins","Pittsburgh Steelers",92.20
"Baltimore Ravens","Miami Dolphins","San Francisco 49ers",92.75
"Baltimore Ravens","Miami Dolphins","Seattle Seahawks",92.14
"Baltimore Ravens","Miami Dolphins","Tampa Bay Buccaneers",92.16
"Baltimore Ravens","Miami Dolphins","Tennessee Titans",92.65
"Baltimore Ravens","Miami Dolphins","Washington Commanders",92.40
"Baltimore Ravens","Minnesota Vikings","New England Patriots",91.87
"Baltimore Ravens","Minnesota Vikings","New Orleans Saints",91.90
"Baltimore Ravens","Minnesota Vikings","New York Giants",92.32
"Baltimore Ravens","Minnesota Vikings","New York Jets",92.17
"Baltimore Ravens","Minnesota Vikings","Philadelphia Eagles",92.41
"Baltimore Ravens","Minnesota Vikings","Pittsburgh Steelers",91.95
"Baltimore Ravens","Minnesota Vikings","San Francisco 49ers",92.57
"Baltimore Ravens","Minnesota Vikings","Seattle Seahawks",91.72
"Baltimore Ravens","Minnesota Vikings","Tampa Bay Buccaneers",91.93
"Baltimore Ravens","Minnesota Vikings","Tennessee Titans",92.22
"Baltimore Ravens","Minnesota Vikings","Washington Commanders",92.25
"Baltimore Ravens","New England Patriots","New Orleans Saints",92.07
"Baltimore Ravens","New England Patriots","New York Giants",92.30
"Baltimore Ravens","New England Patriots","New York Jets",92.12
"Baltimore Ravens","New England Patriots","Philadelphia Eagles",92.59
"Baltimore Ravens","New England Patriots","Pittsburgh Steelers",92.08
"Baltimore Ravens","New England Patriots","San Francisco 49ers",92.52
"Baltimore Ravens","New England Patriots","Seattle Seahawks",91.99
"Baltimore Ravens","New England Patriots","Tampa Bay Buccaneers",91.97
"Baltimore Ravens","New England Patriots","Tennessee Titans",92.55
"Baltimore Ravens","New England Patriots","Washington Commanders",92.39
"Baltimore Ravens","New Orleans Saints","New York Giants",92.32
"Baltimore Ravens","New Orleans Saints","New York Jets",91.99
"Baltimore Ravens","New Orleans Saints","Philadelphia Eagles",92.46
"Baltimore Ravens","New Orleans Saints","Pittsburgh Steelers",92.11
"Baltimore Ravens","New Orleans Saints","San Francisco 49ers",92.71
"Baltimore Ravens","New Orleans Saints","Seattle Seahawks",91.87
"Baltimore Ravens","New Orleans Saints","Tampa Bay Buccaneers",92.04
"Baltimore Ravens","New Orleans Saints","Tennessee Titans",92.40
"Baltimore Ravens","New Orleans Saints","Washington Commanders",92.30
"Baltimore Ravens","New York Giants","New York Jets",92.15
"Baltimore Ravens","New York Giants","Philadelphia Eagles",92.66
"Baltimore Ravens","New York Giants","Pittsburgh Steelers",92.23
"Baltimore Ravens","New York Giants","San Francisco 49ers",92.60
"Baltimore Ravens","New York Giants","Seattle Seahawks",92.12
"Baltimore Ravens","New York Giants","Tampa Bay Buccaneers",92.22
"Baltimore Ravens","New York Giants","Tennessee Titans",92.61
"Baltimore Ravens","New York Giants","Washington Commanders",92.45
"Baltimore Ravens","New York Jets","Philadelphia Eagles",92.57
"Baltimore Ravens","New York Jets","Pittsburgh Steelers",92.09
"Baltimore Ravens","New York Jets","San Francisco 49ers",92.56
"Baltimore Ravens","New York Jets","Seattle Seahawks",91.97
"Baltimore Ravens","New York Jets","Tampa Bay Buccaneers",92.14
"Baltimore Ravens","New York Jets","Tennessee Titans",92.51
"Baltimore Ravens","New York Jets","Washington Commanders",92.38
"Baltimore Ravens","Philadelphia Eagles","Pittsburgh Steelers",92.29
"Baltimore Ravens","Philadelphia Eagles","San Francisco 49ers",92.90
"Baltimore Ravens","Philadelphia Eagles","Seattle Seahawks",92.53
"Baltimore Ravens","Philadelphia Eagles","Tampa Bay Buccaneers",92.55
"Baltimore Ravens","Philadelphia Eagles","Tennessee Titans",92.78
"Baltimore Ravens","Philadelphia Eagles","Washington Commanders",92.70
"Baltimore Ravens","Pittsburgh Steelers","San Francisco 49ers",92.58
"Baltimore Ravens","Pittsburgh Steelers","Seattle Seahawks",92.03
"Baltimore Ravens","Pittsburgh Steelers","Tampa Bay Buccaneers",92.08
"Baltimore Ravens","Pittsburgh Steelers","Tennessee Titans",92.43
"Baltimore Ravens","Pittsburgh Steelers","Washington Commanders",92.20
"Baltimore Ravens","San Francisco 49ers","Seattle Seahawks",92.55
"Baltimore Ravens","San Francisco 49ers","Tampa Bay Buccaneers",92.57
"Baltimore Ravens","San Francisco 49ers","Tennessee Titans",92.82
"Baltimore Ravens","San Francisco 49ers","Washington Commanders",92.74
"Baltimore Ravens","Seattle Seahawks","Tampa Bay Buccaneers",91.85
"Baltimore Ravens","Seattle Seahawks","Tennessee Titans",92.26
"Baltimore Ravens","Seattle Seahawks","Washington Commanders",92.20
"Baltimore Ravens","Tampa Bay Buccaneers","Tennessee Titans",92.46
"Baltimore Ravens","Tampa Bay Buccaneers","Washington Commanders",92.28
"Baltimore Ravens","Tennessee Titans","Washington Commanders",92.49
"Buffalo Bills","Carolina Panthers","Chicago Bears",92.34
"Buffalo Bills","Carolina Panthers","Cincinnati Bengals",91.75
"Buffalo Bills","Carolina Panthers","Cleveland Browns",91.99
"Buffalo Bills","Carolina Panthers","Dallas Cowboys",92.35
"Buffalo Bills","Carolina Panthers","Denver Broncos",91.73
"Buffalo Bills","Carolina Panthers","Detroit Lions",92.21
"Buffalo Bills","Carolina Panthers","Green Bay Packers",91.70
"Buffalo Bills","Carolina Panthers","Houston Texans",91.92
"Buffalo Bills","Carolina Panthers","Indianapolis Colts",92.26
"Buffalo Bills","Carolina Panthers","Jacksonville Jaguars",91.72
"Buffalo Bills","Carolina Panthers","Kansas City Chiefs",92.09
"Buffalo Bills","Carolina Panthers","Las Vegas Raiders",92.20
"Buffalo Bills","Carolina Panthers","Los Angeles Chargers",91.86
"Buffalo Bills","Carolina Panthers","Los Angeles Rams",91.87
"Buffalo Bills","Carolina Panthers","Miami Dolphins",92.22
"Buffalo Bills","Carolina Panthers","Minnesota Vikings",91.99
"Buffalo Bills","Carolina Panthers","New England Patriots",91.94
"Buffalo Bills","Carolina Panthers","New Orleans Saints",91.87
"Buffalo Bills","Carolina Panthers","New York Giants",91.91
"Buffalo Bills","Carolina Panthers","New York Jets",91.93
"Buffalo Bills","Carolina Panthers","Philadelphia Eagles",91.96
"Buffalo Bills","Carolina Panthers","Pittsburgh Steelers",91.94
"Buffalo Bills","Carolina Panthers","San Francisco 49ers",92.69
"Buffalo Bills","Carolina Panthers","Seattle Seahawks",91.77
"Buffalo Bills","Carolina Panthers","Tampa Bay Buccaneers",92.15
"Buffalo Bills","Carolina Panthers","Tennessee Titans",92.21
"Buffalo Bills","Carolina Panthers","Washington Commanders",92.22
"Buffalo Bills","Chicago Bears","Cincinnati Bengals",92.05
"Buffalo Bills","Chicago Bears","Cleveland Browns",92.20
"Buffalo Bills","Chicago Bears","Dallas Cowboys",92.38
"Buffalo Bills","Chicago Bears","Denver Broncos",91.94
"Buffalo Bills","Chicago Bears","Detroit Lions",92.37
"Buffalo Bills","Chicago Bears","Green Bay Packers",92.07
"Buffalo Bills","Chicago Bears","Houston Texans",91.97
"Buffalo Bills","Chicago Bears","Indianapolis Colts",92.30
"Buffalo Bills","Chicago Bears","Jacksonville Jaguars",91.87
"Buffalo Bills","Chicago Bears","Kansas City Chiefs",92.35
"Buffalo Bills","Chicago Bears","Las Vegas Raiders",92.33
"Buffalo Bills","Chicago Bears","Los Angeles Chargers",92.16
"Buffalo Bills","Chicago Bears","Los Angeles Rams",92.22
"Buffalo Bills","Chicago Bears","Miami Dolphins",92.30
"Buffalo Bills","Chicago Bears","Minnesota Vikings",92.08
"Buffalo Bills","Chicago Bears","New England Patriots",92.14
"Buffalo Bills","Chicago Bears","New Orleans Saints",92.04
"Buffalo Bills","Chicago Bears","New York Giants",92.55
"Buffalo Bills","Chicago Bears","New York Jets",92.31
"Buffalo Bills","Chicago Bears","Philadelphia Eagles",92.41
"Buffalo Bills","Chicago Bears","Pittsburgh Steelers",92.23
"Buffalo Bills","Chicago Bears","San Francisco 49ers",92.81
"Buffalo Bills","Chicago Bears","Seattle Seahawks",92.15
"Buffalo Bills","Chicago Bears","Tampa Bay Buccaneers",92.37
"Buffalo Bills","Chicago Bears","Tennessee Titans",92.58
"Buffalo Bills","Chicago Bears","Washington Commanders",92.41
"Buffalo Bills","Cincinnati Bengals","Cleveland Browns",91.54
"Buffalo Bills","Cincinnati Bengals","Dallas Cowboys",92.32
"Buffalo Bills","Cincinnati Bengals","Denver Broncos",91.54
"Buffalo Bills","Cincinnati Bengals","Detroit Lions",92.10
"Buffalo Bills","Cincinnati Bengals","Green Bay Packers",91.60
"Buffalo Bills","Cincinnati Bengals","Houston Texans",91.48
"Buffalo Bills","Cincinnati Bengals","Indianapolis Colts",91.63
"Buffalo Bills","Cincinnati Bengals","Jacksonville Jaguars",91.44
"Buffalo Bills","Cincinnati Bengals","Kansas City Chiefs",92.08
"Buffalo Bills","Cincinnati Bengals","Las Vegas Raiders",91.96
"Buffalo Bills","Cincinnati Bengals","Los Angeles Chargers",91.53
"Buffalo Bills","Cincinnati Bengals","Los Angeles Rams",91.59
"Buffalo Bills","Cincinnati Bengals","Miami Dolphins",92.00
"Buffalo Bills","Cincinnati Bengals","Minnesota Vikings",91.61
"Buffalo Bills","Cincinnati Bengals","New England Patriots",91.50
"Buffalo Bills","Cincinnati Bengals","New Orleans Saints",91.62
"Buffalo Bills","Cincinnati Bengals","New York Giants",91.89
"Buffalo Bills","Cincinnati Bengals","New York Jets",91.37
"Buffalo Bills","Cincinnati Bengals","Philadelphia Eagles",91.81
"Buffalo Bills","Cincinnati Bengals","Pittsburgh Steelers",91.93
"Buffalo Bills","Cincinnati Bengals","San Francisco 49ers",92.40
"Buffalo Bills","Cincinnati Bengals","Seattle Seahawks",91.62
"Buffalo Bills","Cincinnati Bengals","Tampa Bay Buccaneers",91.87
"Buffalo Bills","Cincinnati Bengals","Tennessee Titans",92.01
"Buffalo Bills","Cincinnati Bengals","Washington Commanders",91.76
"Buffalo Bills","Cleveland Browns","Dallas Cowboys",92.24
"Buffalo Bills","Cleveland Browns","Denver Broncos",91.87
"Buffalo Bills","Cleveland Browns","Detroit Lions",92.18
"Buffalo Bills","Cleveland Browns","Green Bay Packers",91.73
"Buffalo Bills","Cleveland Browns","Houston Texans",91.87
"Buffalo Bills","Cleveland Browns","Indianapolis Colts",91.62
"Buffalo Bills","Cleveland Browns","Jacksonville Jaguars",91.62
"Buffalo Bills","Cleveland Browns","Kansas City Chiefs",92.15
"Buffalo Bills","Cleveland Browns","Las Vegas Raiders",92.16
"Buffalo Bills","Cleveland Browns","Los Angeles Chargers",91.67
"Buffalo Bills","Cleveland Browns","Los Angeles Rams",91.73
"Buffalo Bills","Cleveland Browns","Miami Dolphins",92.47
"Buffalo Bills","Cleveland Browns","Minnesota Vikings",91.65
"Buffalo Bills","Cleveland Browns","New England Patriots",91.81
"Buffalo Bills","Cleveland Browns","New Orleans Saints",92.01
"Buffalo Bills","Cleveland Browns","New York Giants",92.03
"Buffalo Bills","Cleveland Browns","New York Jets",91.72
"Buffalo Bills","Cleveland Browns","Philadelphia Eagles",92.01
"Buffalo Bills","Cleveland Browns","Pittsburgh Steelers",92.07
"Buffalo Bills","Cleveland Browns","San Francisco 49ers",92.60
"Buffalo Bills","Cleveland Browns","Seattle Seahawks",91.86
"Buffalo Bills","Cleveland Browns","Tampa Bay Buccaneers",92.16
"Buffalo Bills","Cleveland Browns","Tennessee Titans",92.09
"Buffalo Bills","Cleveland Browns","Washington Commanders",92.09
"Buffalo Bills","Dallas Cowboys","Denver Broncos",92.21
"Buffalo Bills","Dallas Cowboys","Detroit Lions",92.33
"Buffalo Bills","Dallas Cowboys","Green Bay Packers",91.97
"Buffalo Bills","Dallas Cowboys","Houston Texans",92.38
"Buffalo Bills","Dallas Cowboys","Indianapolis Colts",92.30
"Buffalo Bills","Dallas Cowboys","Jacksonville Jaguars",92.11
"Buffalo Bills","Dallas Cowboys","Kansas City Chiefs",92.30
"Buffalo Bills","Dallas Cowboys","Las Vegas Raiders",92.41
"Buffalo Bills","Dallas Cowboys","Los Angeles Chargers",92.26
"Buffalo Bills","Dallas Cowboys","Los Angeles Rams",92.37
"Buffalo Bills","Dallas Cowboys","Miami Dolphins",92.42
"Buffalo Bills","Dallas Cowboys","Minnesota Vikings",92.17
"Buffalo Bills","Dallas Cowboys","New England Patriots",92.29
"Buffalo Bills","Dallas Cowboys","New Orleans Saints",92.10
"Buffalo Bills","Dallas Cowboys","New York Giants",92.30
"Buffalo Bills","Dallas Cowboys","New York Jets",92.40
"Buffalo Bills","Dallas Cowboys","Philadelphia Eagles",92.36
"Buffalo Bills","Dallas Cowboys","Pittsburgh Steelers",92.26
"Buffalo Bills","Dallas Cowboys","San Francisco 49ers",92.83
"Buffalo Bills","Dallas Cowboys","Seattle Seahawks",92.25
"Buffalo Bills","Dallas Cowboys","Tampa Bay Buccaneers",92.20
"Buffalo Bills","Dallas Cowboys","Tennessee Titans",92.56
"Buffalo Bills","Dallas Cowboys","Washington Commanders",92.40
"Buffalo Bills","Denver Broncos","Detroit Lions",91.91
"Buffalo Bills","Denver Broncos","Green Bay Packers",91.72
"Buffalo Bills","Denver Broncos","Houston Texans",91.60
"Buffalo Bills","Denver Broncos","Indianapolis Colts",92.05
"Buffalo Bills","Denver Broncos","Jacksonville Jaguars",91.50
"Buffalo Bills","Denver Broncos","Kansas City Chiefs",91.72
"Buffalo Bills","Denver Broncos","Las Vegas Raiders",92.09
"Buffalo Bills","Denver Broncos","Los Angeles Chargers",91.74
"Buffalo Bills","Denver Broncos","Los Angeles Rams",91.76
"Buffalo Bills","Denver Broncos","Miami Dolphins",92.03
"Buffalo Bills","Denver Broncos","Minnesota Vikings",91.90
"Buffalo Bills","Denver Broncos","New England Patriots",91.68
"Buffalo Bills","Denver Broncos","New Orleans Saints",91.46
"Buffalo Bills","Denver Broncos","New York Giants",91.98
"Buffalo Bills","Denver Broncos","New York Jets",91.84
"Buffalo Bills","Denver Broncos","Philadelphia Eagles",91.97
"Buffalo Bills","Denver Broncos","Pittsburgh Steelers",91.76
"Buffalo Bills","Denver Broncos","San Francisco 49ers",92.46
"Buffalo Bills","Denver Broncos","Seattle Seahawks",91.67
"Buffalo Bills","Denver Broncos","Tampa Bay Buccaneers",91.93
"Buffalo Bills","Denver Broncos","Tennessee Titans",92.21
"Buffalo Bills","Denver Broncos","Washington Commanders",91.95
"Buffalo Bills","Detroit Lions","Green Bay Packers",92.10
"Buffalo Bills","Detroit Lions","Houston Texans",92.26
"Buffalo Bills","Detroit Lions","Indianapolis Colts",92.35
"Buffalo Bills","Detroit Lions","Jacksonville Jaguars",92.02
"Buffalo Bills","Detroit Lions","Kansas City Chiefs",92.13
"Buffalo Bills","Detroit Lions","Las Vegas Raiders",92.37
"Buffalo Bills","Detroit Lions","Los Angeles Chargers",91.99
"Buffalo Bills","Detroit Lions","Los Angeles Rams",92.23
"Buffalo Bills","Detroit Lions","Miami Dolphins",92.32
"Buffalo Bills","Detroit Lions","Minnesota Vikings",92.25
"Buffalo Bills","Detroit Lions","New England Patriots",92.27
"Buffalo Bills","Detroit Lions","New Orleans Saints",92.09
"Buffalo Bills","Detroit Lions","New York Giants",92.22
"Buffalo Bills","Detroit Lions","New York Jets",92.10
"Buffalo Bills","Detroit Lions","Philadelphia Eagles",92.35
"Buffalo Bills","Detroit Lions","Pittsburgh Steelers",92.22
"Buffalo Bills","Detroit Lions","San Francisco 49ers",92.63
"Buffalo Bills","Detroit Lions","Seattle Seahawks",91.98
"Buffalo Bills","Detroit Lions","Tampa Bay Buccaneers",92.10
"Buffalo Bills","Detroit Lions","Tennessee Titans",92.39
"Buffalo Bills","Detroit Lions","Washington Commanders",92.23
"Buffalo Bills","Green Bay Packers","Houston Texans",91.76
"Buffalo Bills","Green Bay Packers","Indianapolis Colts",91.74
"Buffalo Bills","Green Bay Packers","Jacksonville Jaguars",91.42
"Buffalo Bills","Green Bay Packers","Kansas City Chiefs",91.81
"Buffalo Bills","Green Bay Packers","Las Vegas Raiders",92.00
"Buffalo Bills","Green Bay Packers","Los Angeles Chargers",91.66
"Buffalo Bills","Green Bay Packers","Los Angeles Rams",91.67
"Buffalo Bills","Green Bay Packers","Miami Dolphins",92.20
"Buffalo Bills","Green Bay Packers","Minnesota Vikings",91.65
"Buffalo Bills","Green Bay Packers","New England Patriots",91.80
"Buffalo Bills","Green Bay Packers","New Orleans Saints",91.58
"Buffalo Bills","Green Bay Packers","New York Giants",91.98
"Buffalo Bills","Green Bay Packers","New York Jets",91.71
"Buffalo Bills","Green Bay Packers","Philadelphia Eagles",91.85
"Buffalo Bills","Green Bay Packers","Pittsburgh Steelers",91.67
"Buffalo Bills","Green Bay Packers","San Francisco 49ers",92.67
"Buffalo Bills","Green Bay Packers","Seattle Seahawks",91.78
"Buffalo Bills","Green Bay Packers","Tampa Bay Buccaneers",92.01
"Buffalo Bills","Green Bay Packers","Tennessee Titans",92.02
"Buffalo Bills","Green Bay Packers","Washington Commanders",91.89
"Buffalo Bills","Houston Texans","Indianapolis Colts",91.98
"Buffalo Bills","Houston Texans","Jacksonville Jaguars",91.62
"Buffalo Bills","Houston Texans","Kansas City Chiefs",92.11
